kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786201200000,6,4,35.280
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786204800000,6,4,35.230
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786208400000,6,4,35.180
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786212000000,6,4,35.140
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786215600000,6,4,35.090
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786219200000,6,4,35.050
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786222800000,6,4,35.030
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786226400000,6,4,35.010
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786230000000,6,6,35.010
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786240800000,6,6,35.010
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786244400000,6,4,35.000
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786251600000,6,4,34.970
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786255200000,6,4,34.950
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786258800000,6,4,34.940
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786262400000,6,4,34.920
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786266000000,6,4,34.890
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786269600000,6,4,34.870
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786273200000,6,4,34.830
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786280400000,6,4,34.760
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786284000000,6,4,34.720
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786287600000,6,4,34.680
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786291200000,6,4,34.650
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786294800000,6,4,34.630
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786298400000,6,4,34.600
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786302000000,6,4,34.590
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786305600000,6,4,34.580
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786309200000,6,6,34.580
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786312800000,6,6,34.580
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786316400000,6,6,34.580
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786320000000,6,4,34.570
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786327200000,6,6,34.570
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786334400000,6,5,34.570
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786341600000,6,4,34.550
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786348800000,6,4,34.510
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786352400000,6,4,34.480
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786359600000,6,4,34.420
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786363200000,6,4,34.400
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786370400000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786374000000,6,4,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786377600000,6,4,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786381200000,6,6,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786384800000,6,4,34.340
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786388400000,6,6,34.340
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786392000000,6,5,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786395600000,6,4,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786399200000,6,5,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786402800000,6,6,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786413600000,6,6,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786420800000,6,6,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786424400000,6,6,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786428000000,6,5,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786431600000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786438800000,6,4,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786442400000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786446000000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786453200000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786456800000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786460400000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786464000000,6,6,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786467600000,6,4,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786471200000,6,4,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786474800000,6,6,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786478400000,6,6,34.350
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786482000000,6,5,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786485600000,6,6,34.360
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786489200000,6,5,34.370
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786492800000,6,5,34.380
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786503600000,6,6,34.390
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786507200000,6,5,34.400
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786514400000,6,6,34.400
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786521600000,6,6,34.410
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786525200000,6,5,34.420
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786528800000,6,5,34.430
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786532400000,6,5,34.450
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786536000000,6,5,34.460
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786543200000,6,6,34.470
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786546800000,6,6,34.470
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786550400000,6,5,34.480
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786554000000,6,5,34.500
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786557600000,6,6,34.500
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786561200000,6,6,34.500
1,虎渡河,0,17,0,0,0,0,0,1,61501600,黄闸上,0,1786564800000,6,5,34.510
