kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,490,1,61705033,白云潭,0,1786201200000,5,6,52.67
1,0,0,陆水,490,1,61705033,白云潭,0,1786204800000,5,4,52.66
1,0,0,陆水,490,1,61705033,白云潭,0,1786208400000,5,4,52.65
1,0,0,陆水,490,1,61705033,白云潭,0,1786212000000,5,6,52.65
1,0,0,陆水,490,1,61705033,白云潭,0,1786215600000,5,6,52.65
1,0,0,陆水,490,1,61705033,白云潭,0,1786219200000,5,4,52.64
1,0,0,陆水,490,1,61705033,白云潭,0,1786222800000,5,6,52.64
1,0,0,陆水,490,1,61705033,白云潭,0,1786226400000,5,6,52.64
1,0,0,陆水,490,1,61705033,白云潭,0,1786230000000,5,6,52.64
1,0,0,陆水,490,1,61705033,白云潭,0,1786240800000,5,6,52.62
1,0,0,陆水,490,1,61705033,白云潭,0,1786244400000,5,6,52.62
1,0,0,陆水,490,1,61705033,白云潭,0,1786251600000,5,6,52.61
1,0,0,陆水,490,1,61705033,白云潭,0,1786255200000,5,6,52.61
1,0,0,陆水,490,1,61705033,白云潭,0,1786258800000,5,6,52.61
1,0,0,陆水,490,1,61705033,白云潭,0,1786262400000,5,4,52.6
1,0,0,陆水,490,1,61705033,白云潭,0,1786266000000,5,6,52.6
1,0,0,陆水,490,1,61705033,白云潭,0,1786269600000,5,4,52.59
1,0,0,陆水,490,1,61705033,白云潭,0,1786273200000,5,6,52.59
1,0,0,陆水,490,1,61705033,白云潭,0,1786280400000,5,6,52.58
1,0,0,陆水,490,1,61705033,白云潭,0,1786284000000,5,4,52.57
1,0,0,陆水,490,1,61705033,白云潭,0,1786287600000,5,6,52.57
1,0,0,陆水,490,1,61705033,白云潭,0,1786291200000,5,4,52.56
1,0,0,陆水,490,1,61705033,白云潭,0,1786294800000,5,4,52.55
1,0,0,陆水,490,1,61705033,白云潭,0,1786298400000,5,6,52.55
1,0,0,陆水,490,1,61705033,白云潭,0,1786302000000,5,6,52.55
1,0,0,陆水,490,1,61705033,白云潭,0,1786305600000,5,4,52.54
1,0,0,陆水,490,1,61705033,白云潭,0,1786309200000,5,4,52.53
1,0,0,陆水,490,1,61705033,白云潭,0,1786312800000,5,6,52.53
1,0,0,陆水,490,1,61705033,白云潭,0,1786316400000,5,6,52.53
1,0,0,陆水,490,1,61705033,白云潭,0,1786320000000,5,4,52.52
1,0,0,陆水,490,1,61705033,白云潭,0,1786327200000,5,6,52.52
